iter	MultiClass
0	1.030117124
1	0.9721553293
2	0.921896108
3	0.8769434309
4	0.8384305863
5	0.803737069
6	0.7730196578
7	0.745247724
8	0.720401775
9	0.6978068377
10	0.6769353602
11	0.6587841271
12	0.6412568595
13	0.6253651077
14	0.6107318439
15	0.5975622396
16	0.5855161345
17	0.5743954538
18	0.5638757026
19	0.5543886087
20	0.5454830257
21	0.5372111456
22	0.5294439989
23	0.5222511847
24	0.5148016172
25	0.5081449612
26	0.502591442
27	0.4971158654
28	0.4919968033
29	0.4870408028
30	0.4823602365
31	0.4776645707
32	0.4734367387
33	0.4693097014
34	0.4657222069
35	0.462329058
36	0.459051725
37	0.4559321999
38	0.4526481369
39	0.4495109153
40	0.4469514958
41	0.4444685752
42	0.4420431628
43	0.4397575895
44	0.4372032673
45	0.4350286244
46	0.4326102513
47	0.4299218196
48	0.4281809027
49	0.4263622304
50	0.4244940565
51	0.4223468312
52	0.420352336
53	0.4182225257
54	0.4165883891
55	0.4148039953
56	0.4126443886
57	0.4110862233
58	0.4095594392
59	0.4081904224
60	0.4070761945
61	0.4058623167
62	0.404249448
63	0.4033610798
64	0.4020780165
65	0.4007644577
66	0.3996362638
67	0.3979550035
68	0.3966019675
69	0.3956726377
70	0.3946197139
71	0.3937662539
72	0.392975652
73	0.3917550538
74	0.3908878439
75	0.3898208787
76	0.3887379384
77	0.3875044676
78	0.3865034432
79	0.3855596703
80	0.3843854278
81	0.3835814947
82	0.3825382267
83	0.3813787724
84	0.3805785468
85	0.3796698995
86	0.3785701353
87	0.377750874
88	0.3770660189
89	0.3759618653
90	0.37539458
91	0.374569145
92	0.3734293774
93	0.3723035351
94	0.3711187265
95	0.370421785
96	0.3689318177
97	0.3681422734
98	0.367516351
99	0.3666906512
100	0.365937955
101	0.3652216521
102	0.3647296433
103	0.3638081386
104	0.3628694681
105	0.3621406542
106	0.3612520605
107	0.3604229316
108	0.3596071963
109	0.3590684873
110	0.3584444889
111	0.3572598403
112	0.3564326855
113	0.3552202986
114	0.3541872685
115	0.3535232474
116	0.3527133423
117	0.3521035238
118	0.3513288705
119	0.3500734906
120	0.3494590747
121	0.3487655507
122	0.3481487103
123	0.3473268989
124	0.3466679267
125	0.3458276601
126	0.3450931713
127	0.3442993676
128	0.3436247219
129	0.3425540406
130	0.3420978833
131	0.3415383654
132	0.3406388624
133	0.3399967775
134	0.339328044
135	0.3385849766
136	0.337887834
137	0.336940197
138	0.3362566445
139	0.3357652559
140	0.3351129041
141	0.3344065011
142	0.3337014738
