iter	Passed	Remaining
0	10	4637
1	20	4513
2	30	4428
3	40	4416
4	49	4344
5	58	4257
6	67	4197
7	77	4160
8	85	4106
9	94	4079
10	103	4054
11	113	4039
12	122	4022
13	130	3982
14	139	3962
15	148	3934
16	157	3920
17	166	3909
18	176	3913
19	185	3900
20	194	3874
21	202	3848
22	211	3837
23	220	3815
24	228	3792
25	237	3776
26	245	3755
27	253	3730
28	262	3716
29	270	3700
30	279	3684
31	287	3664
32	295	3644
33	304	3632
34	312	3616
35	320	3596
36	328	3582
37	337	3569
38	345	3553
39	353	3534
40	361	3517
41	369	3504
42	378	3493
43	386	3481
44	395	3473
45	403	3457
46	411	3443
47	420	3432
48	429	3423
49	437	3411
50	446	3401
51	454	3388
52	462	3378
53	472	3375
54	480	3366
55	489	3357
56	498	3348
57	506	3336
58	515	3326
59	523	3316
60	532	3305
61	540	3296
62	549	3288
63	557	3276
64	566	3266
65	575	3258
66	583	3248
67	592	3242
68	601	3232
69	609	3223
70	618	3212
71	626	3202
72	635	3192
73	643	3183
74	652	3173
75	660	3163
76	669	3154
77	677	3142
78	685	3134
79	695	3128
80	704	3122
81	713	3115
82	722	3107
83	730	3097
84	740	3093
85	750	3088
86	759	3083
87	772	3088
88	781	3083
89	790	3075
90	799	3066
91	808	3056
92	817	3050
93	826	3041
94	834	3031
95	843	3022
96	852	3013
97	860	3002
98	868	2991
99	876	2980
100	884	2969
101	892	2958
102	900	2947
103	909	2937
104	917	2927
105	925	2915
106	933	2905
107	941	2895
108	950	2885
109	958	2874
110	966	2864
111	975	2856
112	983	2846
113	993	2840
114	1002	2832
115	1010	2823
116	1019	2815
117	1028	2806
118	1037	2797
119	1045	2787
120	1054	2779
121	1064	2775
122	1073	2766
123	1081	2756
124	1091	2749
125	1099	2741
126	1108	2731
127	1116	2722
128	1125	2712
129	1133	2703
130	1141	2693
131	1150	2683
132	1159	2675
133	1168	2667
134	1176	2657
135	1184	2648
136	1193	2639
137	1201	2629
138	1209	2619
139	1217	2609
140	1226	2600
141	1234	2591
142	1243	2582
143	1251	2573
144	1260	2563
145	1268	2554
146	1277	2545
147	1285	2535
148	1293	2526
149	1301	2516
150	1310	2507
151	1318	2497
152	1326	2488
153	1334	2478
154	1343	2469
155	1351	2460
156	1361	2454
157	1370	2445
158	1378	2436
159	1386	2426
160	1394	2416
161	1402	2407
162	1410	2397
163	1418	2387
164	1427	2378
165	1438	2373
166	1448	2368
167	1458	2361
168	1467	2353
169	1475	2343
170	1484	2334
171	1492	2325
172	1500	2316
173	1509	2307
174	1517	2298
175	1525	2288
176	1533	2278
177	1541	2269
178	1550	2260
179	1558	2251
180	1567	2243
181	1576	2234
182	1584	2225
183	1593	2216
184	1601	2207
185	1609	2198
186	1618	2189
187	1626	2180
188	1634	2170
189	1642	2161
190	1651	2153
191	1661	2145
192	1669	2136
193	1677	2127
194	1686	2118
195	1694	2109
196	1703	2101
197	1712	2092
198	1721	2084
199	1730	2076
200	1738	2067
201	1746	2057
202	1755	2049
203	1763	2040
204	1772	2031
205	1780	2022
206	1789	2013
207	1797	2004
208	1806	1996
209	1814	1987
210	1822	1978
211	1831	1969
212	1839	1960
213	1847	1951
214	1855	1942
215	1863	1932
216	1872	1924
217	1880	1915
218	1888	1905
219	1897	1897
220	1906	1888
221	1914	1880
222	1923	1871
223	1931	1862
224	1939	1853
225	1949	1845
226	1958	1837
227	1966	1828
228	1974	1819
229	1983	1810
230	1991	1801
231	1999	1792
232	2008	1783
233	2016	1774
234	2024	1766
235	2032	1757
236	2041	1748
237	2049	1739
238	2057	1730
239	2066	1722
240	2075	1713
241	2083	1704
242	2092	1696
243	2101	1687
244	2109	1678
245	2117	1670
246	2126	1661
247	2134	1652
248	2144	1644
249	2153	1636
250	2161	1627
251	2170	1619
252	2178	1610
253	2186	1601
254	2195	1592
255	2203	1583
256	2211	1574
257	2220	1566
258	2228	1557
259	2236	1548
260	2246	1540
261	2256	1532
262	2265	1524
263	2274	1516
264	2282	1507
265	2291	1499
266	2300	1490
267	2309	1482
268	2318	1473
269	2327	1465
270	2335	1456
271	2344	1448
272	2353	1439
273	2362	1431
274	2371	1422
275	2380	1414
276	2388	1405
277	2397	1397
278	2406	1388
279	2415	1380
280	2423	1371
281	2432	1362
282	2441	1354
283	2451	1346
284	2460	1337
285	2469	1329
286	2478	1321
287	2487	1312
288	2495	1304
289	2504	1295
290	2513	1286
291	2521	1278
292	2530	1269
293	2539	1261
294	2549	1253
295	2558	1244
296	2567	1235
297	2575	1227
298	2583	1218
299	2591	1209
300	2600	1200
301	2608	1192
302	2616	1183
303	2624	1174
304	2633	1165
305	2641	1156
306	2650	1148
307	2658	1139
308	2666	1130
309	2675	1121
310	2683	1113
311	2692	1104
312	2702	1096
313	2711	1088
314	2720	1079
315	2729	1071
316	2737	1062
317	2745	1053
318	2754	1044
319	2763	1036
320	2771	1027
321	2779	1018
322	2788	1010
323	2796	1001
324	2804	992
325	2813	983
326	2821	975
327	2830	966
328	2840	958
329	2849	949
330	2857	940
331	2865	932
332	2873	923
333	2882	914
334	2890	905
335	2898	897
336	2906	888
337	2915	879
338	2923	870
339	2931	862
340	2940	853
341	2948	844
342	2956	836
343	2964	827
344	2973	818
345	2981	810
346	2989	801
347	2998	792
348	3006	783
349	3014	775
350	3022	766
351	3030	757
352	3039	749
353	3047	740
354	3055	731
355	3065	723
356	3073	714
357	3081	705
358	3089	697
359	3098	688
360	3106	679
361	3114	670
362	3122	662
363	3132	653
364	3141	645
365	3149	636
366	3157	628
367	3166	619
368	3175	610
369	3183	602
370	3192	593
371	3200	585
372	3208	576
373	3216	567
374	3224	558
375	3232	550
376	3241	541
377	3249	532
378	3257	524
379	3265	515
380	3273	506
381	3281	498
382	3290	489
383	3298	480
384	3306	472
385	3314	463
386	3323	455
387	3331	446
388	3339	437
389	3348	429
390	3356	420
391	3365	412
392	3373	403
393	3381	394
394	3389	386
395	3397	377
396	3406	368
397	3415	360
398	3425	351
399	3435	343
400	3445	335
401	3453	326
402	3463	317
403	3474	309
404	3485	301
405	3494	292
406	3503	284
407	3512	275
408	3523	267
409	3532	258
410	3540	249
411	3548	241
412	3556	232
413	3565	223
414	3573	215
415	3581	206
416	3590	198
417	3599	189
418	3607	180
419	3616	172
420	3625	163
421	3633	154
422	3642	146
423	3650	137
424	3660	129
425	3669	120
426	3678	111
427	3687	103
428	3696	94
429	3705	86
430	3713	77
431	3723	68
432	3732	60
433	3740	51
434	3748	43
435	3757	34
436	3765	25
437	3774	17
438	3783	8
439	3792	0
